Date,Time,total,instances
30/5/2024,00:00:00,3374,
30/5/2024,01:00:00,3242,
30/5/2024,02:00:00,3654,
30/5/2024,03:00:00,4061,
30/5/2024,04:00:00,4045,
30/5/2024,05:00:00,4210,
30/5/2024,06:00:00,3956,
30/5/2024,07:00:00,3711,
30/5/2024,08:00:00,3852,
30/5/2024,09:00:00,4203,
30/5/2024,10:00:00,4424,
30/5/2024,11:00:00,4920,
30/5/2024,12:00:00,4900,
30/5/2024,13:00:00,5112,
30/5/2024,14:00:00,4105,
30/5/2024,15:00:00,3869,
30/5/2024,16:00:00,3677,
30/5/2024,17:00:00,3521,
30/5/2024,18:00:00,3215,
30/5/2024,19:00:00,2916,
30/5/2024,20:00:00,3039,
30/5/2024,21:00:00,2845,
30/5/2024,22:00:00,2904,
30/5/2024,23:00:00,3879,